,i,j,clusters
678,5,38,2
679,5,39,2
680,5,40,3
681,5,41,3
682,5,42,3
683,5,43,3
684,5,44,3
685,5,45,3
686,5,46,4
687,5,47,4
688,5,48,4
689,5,49,4
690,5,50,4
691,5,51,4
692,5,52,4
693,5,53,4
694,5,54,4
695,5,55,4
696,5,56,4
697,5,57,4
698,5,58,4
699,5,59,4
700,5,60,4
701,5,61,4
702,5,62,4
703,5,63,4
704,5,64,4
705,5,65,4
706,5,66,4
707,5,67,4
708,5,68,4
709,5,69,4
710,5,70,4
711,5,71,4
712,5,72,4
713,5,73,4
714,5,74,4
715,5,75,4
716,5,76,4
717,5,77,4
718,5,78,4
719,5,79,4
720,5,80,3
721,5,81,3
722,5,82,3
723,5,83,3
724,5,84,3
725,5,85,3
726,5,86,3
727,5,87,3
728,5,88,3
729,5,89,3
730,5,90,2
731,5,91,2
732,5,92,2
733,5,93,2
734,5,94,2
735,5,95,2
736,5,96,2
737,5,97,2
738,5,98,2
739,5,99,2
740,5,100,2
741,5,101,2
742,5,102,2
743,5,103,2
744,5,104,2
745,5,105,2
746,5,106,2
747,5,107,2
748,5,108,2
749,5,109,2
750,5,110,2
751,5,111,2
752,5,112,2
753,5,113,2
754,5,114,2
755,5,115,2
756,5,116,2
757,5,117,2
758,5,118,2
759,5,119,2
760,5,120,2
761,5,121,2
762,5,122,2
763,5,123,2
764,5,124,2
765,5,125,2
766,5,126,2
767,5,127,2
768,6,0,2
769,6,1,2
770,6,2,2
771,6,3,2
772,6,4,2
773,6,5,2
774,6,6,2
775,6,7,2
776,6,8,2
777,6,9,2
778,6,10,2
779,6,11,2
780,6,12,2
781,6,13,2
782,6,14,2
783,6,15,2
784,6,16,2
785,6,17,2
786,6,18,2
787,6,19,2
788,6,20,2
789,6,21,3
790,6,22,2
791,6,23,2
792,6,24,2
793,6,25,2
794,6,26,3
795,6,27,3
796,6,28,3
797,6,29,3
798,6,30,3
799,6,31,3
800,6,32,4
801,6,33,4
802,6,34,3
803,6,35,3
804,6,36,4
805,6,37,4
806,6,38,4
807,6,39,4
808,6,40,4
809,6,41,4
810,6,42,4
811,6,43,4
812,6,44,4
813,6,45,4
814,6,46,4
815,6,47,4
816,6,48,4
817,6,49,4
818,6,50,4
819,6,51,4
820,6,52,4
821,6,53,4
822,6,54,5
823,6,55,5
824,6,56,4
825,6,57,4
826,6,58,4
827,6,59,4
828,6,60,4
829,6,61,4
830,6,62,4
831,6,63,4
832,6,64,4
833,6,65,4
834,6,66,4
835,6,67,4
836,6,68,4
837,6,69,4
838,6,70,4
839,6,71,4
840,6,72,4
841,6,73,4
842,6,74,4
843,6,75,4
844,6,76,4
845,6,77,4
846,6,78,4
847,6,79,4
848,6,80,3
849,6,81,3
850,6,82,4
851,6,83,4
852,6,84,4
853,6,85,4
854,6,86,4
855,6,87,4
856,6,88,4
857,6,89,4
858,6,90,3
859,6,91,3
860,6,92,4
861,6,93,4
862,6,94,4
863,6,95,4
864,6,96,4
865,6,97,4
866,6,98,4
867,6,99,4
868,6,100,4
869,6,101,4
870,6,102,3
871,6,103,3
872,6,104,2
873,6,105,2
874,6,106,3
875,6,107,2
876,6,108,2
877,6,109,2
878,6,110,2
879,6,111,2
880,6,112,2
881,6,113,2
882,6,114,2
883,6,115,2
884,6,116,2
885,6,117,2
886,6,118,2
887,6,119,2
888,6,120,2
889,6,121,2
890,6,122,2
891,6,123,2
892,6,124,2
893,6,125,2
894,6,126,2
895,6,127,2
896,7,0,2
897,7,1,2
898,7,2,2
899,7,3,2
900,7,4,2
901,7,5,2
902,7,6,2
903,7,7,2
904,7,8,2
905,7,9,2
906,7,10,2
907,7,11,2
908,7,12,2
909,7,13,2
910,7,14,2
911,7,15,2
912,7,16,2
913,7,17,2
914,7,18,2
915,7,19,2
916,7,20,2
917,7,21,3
918,7,22,4
919,7,23,4
920,7,24,4
921,7,25,4
922,7,26,5
923,7,27,5
924,7,28,5
925,7,29,5
926,7,30,5
927,7,31,5
928,7,32,4
929,7,33,4
930,7,34,5
931,7,35,5
932,7,36,4
933,7,37,4
934,7,38,4
935,7,39,4
936,7,40,4
937,7,41,4
938,7,42,4
939,7,43,4
940,7,44,4
941,7,45,4
942,7,46,4
943,7,47,4
944,7,48,4
945,7,49,4
946,7,50,4
947,7,51,4
948,7,52,4
949,7,53,4
950,7,54,5
951,7,55,5
952,7,56,4
953,7,57,4
954,7,58,4
955,7,59,4
956,7,60,4
957,7,61,4
958,7,62,4
959,7,63,4
960,7,64,4
961,7,65,4
962,7,66,4
963,7,67,4
964,7,68,4
965,7,69,4
966,7,70,4
967,7,71,4
968,7,72,4
969,7,73,4
970,7,74,4
971,7,75,4
972,7,76,4
973,7,77,4
974,7,78,4
975,7,79,4
976,7,80,5
977,7,81,5
978,7,82,4
979,7,83,4
980,7,84,4
981,7,85,4
982,7,86,4
983,7,87,4
984,7,88,4
985,7,89,4
986,7,90,5
987,7,91,5
988,7,92,4
989,7,93,4
990,7,94,4
991,7,95,4
992,7,96,4
993,7,97,4
994,7,98,4
995,7,99,4
996,7,100,4
997,7,101,4
998,7,102,5
999,7,103,5
1000,7,104,4
1001,7,105,4
1002,7,106,4
1003,7,107,2
1004,7,108,2
1005,7,109,2
1006,7,110,2
1007,7,111,2
1008,7,112,2
1009,7,113,2
1010,7,114,2
1011,7,115,2
1012,7,116,2
1013,7,117,2
1014,7,118,2
1015,7,119,2
1016,7,120,2
1017,7,121,2
1018,7,122,2
1019,7,123,2
1020,7,124,2
1021,7,125,2
1022,7,126,2
1023,7,127,2
1024,8,0,2
1025,8,1,2
1026,8,2,2
1027,8,3,2
1028,8,4,2
1029,8,5,2
1030,8,6,2
1031,8,7,2
1032,8,8,2
1033,8,9,2
1034,8,10,2
1035,8,11,2
1036,8,12,2
1037,8,13,2
1038,8,14,2
1039,8,15,2
1040,8,16,2
1041,8,17,2
1042,8,18,2
1043,8,19,2
1044,8,20,2
1045,8,21,4
1046,8,22,4
1047,8,23,4
1048,8,24,4
1049,8,25,4
1050,8,26,4
1051,8,27,4
1052,8,28,4
1053,8,29,4
1054,8,30,4
1055,8,31,4
1056,8,32,4
1057,8,33,4
1058,8,34,4
1059,8,35,4
1060,8,36,5
1061,8,37,5
1062,8,38,4
1063,8,39,4
1064,8,40,5
1065,8,41,5
1066,8,42,5
1067,8,43,5
1068,8,44,5
1069,8,45,5
1070,8,46,4
1071,8,47,4
1072,8,48,4
1073,8,49,4
1074,8,50,5
1075,8,51,5
1076,8,52,4
1077,8,53,4
1078,8,54,4
1079,8,55,4
1080,8,56,5
1081,8,57,5
1082,8,58,5
1083,8,59,5
1084,8,60,5
1085,8,61,5
1086,8,62,4
1087,8,63,4
1088,8,64,5
