,i,j,clusters
964,13,54,6
965,13,55,4
966,13,56,1
967,13,57,4
968,13,58,1
969,13,59,3
970,13,60,3
971,13,61,3
972,13,62,3
973,13,63,3
974,13,64,3
975,13,65,1
976,13,66,3
977,13,67,1
978,13,68,2
979,13,69,2
980,14,0,2
981,14,1,2
982,14,2,1
983,14,3,3
984,14,4,3
985,14,5,3
986,14,6,3
987,14,7,3
988,14,8,3
989,14,9,3
990,14,10,3
991,14,11,3
992,14,12,3
993,14,13,1
994,14,14,1
995,14,15,4
996,14,16,3
997,14,17,4
998,14,18,1
999,14,19,4
1000,14,20,4
1001,14,21,5
1002,14,22,4
1003,14,23,4
1004,14,24,4
1005,14,25,4
1006,14,26,4
1007,14,27,4
1008,14,28,4
1009,14,29,7
1010,14,30,4
1011,14,31,1
1012,14,32,4
1013,14,33,4
1014,14,34,4
1015,14,35,4
1016,14,36,4
1017,14,37,4
1018,14,38,4
1019,14,39,4
1020,14,40,4
1021,14,41,4
1022,14,42,4
1023,14,43,4
1024,14,44,4
1025,14,45,4
1026,14,46,4
1027,14,47,4
1028,14,48,4
1029,14,49,4
1030,14,50,4
1031,14,51,4
1032,14,52,4
1033,14,53,4
1034,14,54,4
1035,14,55,5
1036,14,56,1
1037,14,57,1
1038,14,58,1
1039,14,59,4
1040,14,60,3
1041,14,61,3
1042,14,62,3
1043,14,63,3
1044,14,64,3
1045,14,65,3
1046,14,66,1
1047,14,67,3
1048,14,68,2
1049,14,69,2
1050,15,0,2
1051,15,1,2
1052,15,2,1
1053,15,3,3
1054,15,4,3
1055,15,5,3
1056,15,6,3
1057,15,7,1
1058,15,8,3
1059,15,9,3
1060,15,10,3
1061,15,11,3
1062,15,12,1
1063,15,13,1
1064,15,14,4
1065,15,15,1
1066,15,16,1
1067,15,17,4
1068,15,18,4
1069,15,19,4
1070,15,20,5
1071,15,21,1
1072,15,22,4
1073,15,23,4
1074,15,24,4
1075,15,25,5
1076,15,26,4
1077,15,27,4
1078,15,28,4
1079,15,29,4
1080,15,30,4
1081,15,31,4
1082,15,32,4
1083,15,33,4
1084,15,34,4
1085,15,35,4
1086,15,36,4
1087,15,37,4
1088,15,38,4
1089,15,39,4
1090,15,40,4
1091,15,41,4
1092,15,42,4
1093,15,43,4
1094,15,44,4
1095,15,45,4
1096,15,46,4
1097,15,47,4
1098,15,48,4
1099,15,49,4
1100,15,50,4
1101,15,51,4
1102,15,52,4
1103,15,53,4
1104,15,54,4
1105,15,55,4
1106,15,56,4
1107,15,57,1
1108,15,58,1
1109,15,59,1
1110,15,60,1
1111,15,61,3
1112,15,62,3
1113,15,63,3
1114,15,64,3
1115,15,65,3
1116,15,66,3
1117,15,67,3
1118,15,68,1
1119,15,69,2
1120,16,0,2
1121,16,1,2
1122,16,2,1
1123,16,3,3
1124,16,4,3
1125,16,5,3
1126,16,6,3
1127,16,7,3
1128,16,8,3
1129,16,9,1
1130,16,10,3
1131,16,11,3
1132,16,12,1
1133,16,13,1
1134,16,14,1
1135,16,15,1
1136,16,16,4
1137,16,17,1
1138,16,18,4
1139,16,19,4
1140,16,20,4
1141,16,21,1
1142,16,22,4
1143,16,23,4
1144,16,24,4
1145,16,25,6
1146,16,26,4
1147,16,27,7
1148,16,28,4
1149,16,29,4
1150,16,30,4
1151,16,31,4
1152,16,32,4
1153,16,33,4
1154,16,34,4
1155,16,35,4
1156,16,36,4
1157,16,37,4
1158,16,38,4
1159,16,39,4
1160,16,40,4
1161,16,41,4
1162,16,42,4
1163,16,43,7
1164,16,44,4
1165,16,45,4
1166,16,46,4
1167,16,47,4
1168,16,48,4
1169,16,49,4
1170,16,50,4
1171,16,51,4
1172,16,52,4
1173,16,53,4
1174,16,54,4
1175,16,55,4
1176,16,56,1
1177,16,57,1
1178,16,58,1
1179,16,59,4
1180,16,60,4
1181,16,61,1
