,R,G,B,i,j,cluster
3281,4,4,4,32,81,2
3282,4,4,4,32,82,2
3283,4,4,4,32,83,2
3284,4,4,4,32,84,2
3285,4,4,4,32,85,2
3286,4,4,4,32,86,2
3287,5,5,5,32,87,2
3288,2,2,2,32,88,2
3289,0,0,0,32,89,2
3290,0,0,0,32,90,2
3291,0,0,0,32,91,2
3292,0,0,0,32,92,2
3293,0,0,0,32,93,2
3294,0,0,0,32,94,2
3295,0,0,0,32,95,2
3296,0,0,0,32,96,2
3297,0,0,0,32,97,2
3298,0,0,0,32,98,2
3299,0,0,0,32,99,2
3300,0,0,0,33,0,2
3301,0,0,0,33,1,2
3302,0,0,0,33,2,2
3303,0,0,0,33,3,2
3304,0,0,0,33,4,2
3305,0,0,0,33,5,2
3306,0,0,0,33,6,2
3307,0,0,0,33,7,2
3308,0,0,0,33,8,2
3309,0,0,0,33,9,2
3310,0,0,0,33,10,2
3311,1,1,1,33,11,2
3312,4,4,4,33,12,2
3313,4,4,4,33,13,2
3314,6,6,6,33,14,2
3315,6,6,6,33,15,2
3316,5,5,5,33,16,2
3317,5,5,5,33,17,2
3318,5,5,5,33,18,2
3319,6,6,6,33,19,2
3320,6,6,6,33,20,2
3321,7,7,7,33,21,2
3322,5,5,5,33,22,2
3323,5,5,5,33,23,2
3324,5,5,5,33,24,2
3325,20,20,20,33,25,1
3326,93,93,93,33,26,3
3327,146,146,146,33,27,1
3328,139,139,139,33,28,1
3329,80,80,80,33,29,3
3330,46,46,46,33,30,1
3331,73,73,73,33,31,3
3332,88,88,88,33,32,3
3333,81,81,81,33,33,3
3334,64,64,64,33,34,4
3335,75,75,75,33,35,3
3336,81,81,81,33,36,3
3337,87,87,87,33,37,3
3338,94,94,94,33,38,3
3339,92,92,92,33,39,3
3340,76,76,76,33,40,3
3341,77,77,77,33,41,3
3342,89,89,89,33,42,3
3343,98,98,98,33,43,3
3344,93,93,93,33,44,3
3345,81,81,81,33,45,3
3346,82,82,82,33,46,3
3347,66,66,66,33,47,5
3348,81,81,81,33,48,3
3349,90,90,90,33,49,3
3350,91,91,91,33,50,3
3351,95,95,95,33,51,3
3352,93,93,93,33,52,3
3353,96,96,96,33,53,3
3354,86,86,86,33,54,3
3355,63,63,63,33,55,4
3356,57,57,57,33,56,1
3357,61,61,61,33,57,1
3358,80,80,80,33,58,3
3359,92,92,92,33,59,3
3360,90,90,90,33,60,3
3361,81,81,81,33,61,3
3362,62,62,62,33,62,1
3363,53,53,53,33,63,1
3364,71,71,71,33,64,3
3365,88,88,88,33,65,3
3366,89,89,89,33,66,3
3367,62,62,62,33,67,1
3368,104,104,104,33,68,1
3369,156,156,156,33,69,1
3370,120,120,120,33,70,1
3371,43,43,43,33,71,1
3372,6,6,6,33,72,2
3373,5,5,5,33,73,2
3374,6,6,6,33,74,2
3375,6,6,6,33,75,2
3376,6,6,6,33,76,2
3377,3,3,3,33,77,2
3378,4,4,4,33,78,2
3379,6,6,6,33,79,2
3380,5,5,5,33,80,2
3381,4,4,4,33,81,2
3382,4,4,4,33,82,2
3383,4,4,4,33,83,2
3384,4,4,4,33,84,2
3385,4,4,4,33,85,2
3386,4,4,4,33,86,2
3387,4,4,4,33,87,2
3388,1,1,1,33,88,2
3389,0,0,0,33,89,2
3390,0,0,0,33,90,2
3391,0,0,0,33,91,2
3392,0,0,0,33,92,2
3393,0,0,0,33,93,2
3394,0,0,0,33,94,2
3395,0,0,0,33,95,2
3396,0,0,0,33,96,2
3397,0,0,0,33,97,2
3398,0,0,0,33,98,2
3399,0,0,0,33,99,2
3400,0,0,0,34,0,2
3401,0,0,0,34,1,2
3402,0,0,0,34,2,2
3403,0,0,0,34,3,2
3404,0,0,0,34,4,2
3405,0,0,0,34,5,2
3406,0,0,0,34,6,2
3407,0,0,0,34,7,2
3408,0,0,0,34,8,2
3409,0,0,0,34,9,2
3410,0,0,0,34,10,2
3411,2,2,2,34,11,2
3412,5,5,5,34,12,2
3413,5,5,5,34,13,2
3414,6,6,6,34,14,2
3415,5,5,5,34,15,2
3416,4,4,4,34,16,2
3417,4,4,4,34,17,2
3418,6,6,6,34,18,2
3419,7,7,7,34,19,2
3420,6,6,6,34,20,2
3421,6,6,6,34,21,2
3422,5,5,5,34,22,2
3423,5,5,5,34,23,2
3424,7,7,7,34,24,2
3425,48,48,48,34,25,1
3426,130,130,130,34,26,1
3427,142,142,142,34,27,1
3428,104,104,104,34,28,1
3429,69,69,69,34,29,3
3430,72,72,72,34,30,3
3431,83,83,83,34,31,3
3432,87,87,87,34,32,3
3433,76,76,76,34,33,3
3434,66,66,66,34,34,5
3435,76,76,76,34,35,3
3436,86,86,86,34,36,3
3437,94,94,94,34,37,3
3438,95,95,95,34,38,3
3439,92,92,92,34,39,3
3440,83,83,83,34,40,3
3441,76,76,76,34,41,3
3442,91,91,91,34,42,3
3443,98,98,98,34,43,3
3444,96,96,96,34,44,3
3445,92,92,92,34,45,3
3446,86,86,86,34,46,3
3447,84,84,84,34,47,3
3448,80,80,80,34,48,3
3449,88,88,88,34,49,3
3450,97,97,97,34,50,3
3451,99,99,99,34,51,3
3452,97,97,97,34,52,3
3453,96,96,96,34,53,3
3454,91,91,91,34,54,3
3455,81,81,81,34,55,3
3456,74,74,74,34,56,3
3457,57,57,57,34,57,1
3458,79,79,79,34,58,3
3459,94,94,94,34,59,3
3460,94,94,94,34,60,3
3461,84,84,84,34,61,3
3462,74,74,74,34,62,3
3463,72,72,72,34,63,3
3464,73,73,73,34,64,3
3465,71,71,71,34,65,3
3466,82,82,82,34,66,3
3467,78,78,78,34,67,3
3468,79,79,79,34,68,3
3469,133,133,133,34,69,1
3470,162,162,162,34,70,1
3471,91,91,91,34,71,3
3472,24,24,24,34,72,1
3473,4,4,4,34,73,2
3474,6,6,6,34,74,2
3475,6,6,6,34,75,2
3476,6,6,6,34,76,2
3477,5,5,5,34,77,2
3478,4,4,4,34,78,2
3479,5,5,5,34,79,2
3480,5,5,5,34,80,2
3481,4,4,4,34,81,2
3482,4,4,4,34,82,2
3483,4,4,4,34,83,2
3484,4,4,4,34,84,2
3485,4,4,4,34,85,2
3486,4,4,4,34,86,2
3487,4,4,4,34,87,2
3488,2,2,2,34,88,2
3489,0,0,0,34,89,2
3490,0,0,0,34,90,2
3491,0,0,0,34,91,2
3492,0,0,0,34,92,2
3493,0,0,0,34,93,2
3494,0,0,0,34,94,2
3495,0,0,0,34,95,2
3496,0,0,0,34,96,2
3497,0,0,0,34,97,2
3498,0,0,0,34,98,2
3499,0,0,0,34,99,2
3500,0,0,0,35,0,2
3501,0,0,0,35,1,2
3502,0,0,0,35,2,2
3503,0,0,0,35,3,2
3504,0,0,0,35,4,2
3505,0,0,0,35,5,2
3506,0,0,0,35,6,2
3507,0,0,0,35,7,2
3508,0,0,0,35,8,2
3509,0,0,0,35,9,2
3510,0,0,0,35,10,2
3511,2,2,2,35,11,2
3512,5,5,5,35,12,2
3513,5,5,5,35,13,2
3514,5,5,5,35,14,2
3515,4,4,4,35,15,2
3516,6,6,6,35,16,2
3517,5,5,5,35,17,2
3518,6,6,6,35,18,2
3519,6,6,6,35,19,2
3520,6,6,6,35,20,2
3521,6,6,6,35,21,2
3522,5,5,5,35,22,2
3523,6,6,6,35,23,2
3524,15,15,15,35,24,1
3525,79,79,79,35,25,3
3526,145,145,145,35,26,1
3527,134,134,134,35,27,1
3528,98,98,98,35,28,3
3529,85,85,85,35,29,3
3530,74,74,74,35,30,3
3531,80,80,80,35,31,3
3532,84,84,84,35,32,3
